Institutions,Country_by_institution,Outputs,Latitude,Longitude
University of Windsor,Canada,4,42.305201350000004,-83.06649144027972
Michigan State University,United States,4,42.70237935,-84.48038686520441
Oklahoma State University,United States,4,36.128476750000004,-97.08398055028107
University of Arizona,United States,4,32.23563985,-110.9517440773026
University of California at Berkeley,United States,4,37.87425655,-122.23870915696222
University of Colorado Colorado Springs,United States,4,38.8924932,-104.7996978
"University of Nevada, Reno",United States,4,39.5442688,-119.81631051527071
Universidad de la Frontera,Chile,4,-38.748060499999994,-72.61829051629903
Aix-Marseille Université,France,4,43.29282045,5.358275269602977
Max Planck Institute for Human Cognitive and Brain Sciences,Germany,4,51.3349446,12.3889266
Brawijaya University,Indonesia,4,-7.9520178999999995,112.6138814098461
Universidad Adolfo Ibáñez,Chile,4,-33.4213941,-70.59156150604554
"Rutgers - The State University of New Jersey, Newark",United States,4,40.7406438,-74.173126
Leuphana University of Lüneburg,Germany,4,53.2287819,10.40147524887356
Universidad Católica Boliviana,Bolivia,4,-16.522801,-68.11182474838812
Université PSL,France,4,48.854654,2.3378386313969113
Fundación Universitaria Konrad Lorenz,Colombia,4,4.648512699999999,-74.06155190000001
Károli Gáspár University of the Reformed Church Budapest,Hungary,4,47.4889541,19.061843
Menoufia University,Egypt,3,30.61080195,31.109719477727435
Université Cheikh Anta Diop de Dakar,Senegal,3,14.68724935,-17.46444644727304
Monash University,Australia,3,-37.783974549999996,144.95867432609305
University of Newcastle,Australia,3,-32.890687650000004,151.7022241596607
University of Chinese Academy of Sciences,China,3,39.907697049999996,116.24405770367915
Hubei University,China,3,30.579616,114.3235106
Chinese University of Hong Kong,Hong Kong,3,22.4140914,114.2100208
Kwansei Gakuin University,Japan,3,34.768813,135.34691007748773
The University of Tokyo,Japan,3,35.9019845,139.9362233261796
University Utara Malaysia,Malaysia,3,6.4641470000000005,100.50304918471942
Singapore Management University,Singapore,3,1.29616795,103.85004365998248
Sofia University St. Kliment Ohridski,Bulgaria,3,42.6935092,23.335316870417927
University of Basel,Switzerland,3,47.5612651,7.5752961
University of Bern,Switzerland,3,46.95097255,7.438684130809055
Saarland University,Germany,3,49.25428530000001,7.04150707562534
Heidelberg University ,Germany,3,49.41937455,8.670220825559886
University of Tübingen,Germany,3,48.53405945,9.071244429234808
University of Würzburg,Germany,3,49.7881814,9.93526
Constructor University,Germany,3,53.167723300000006,8.651165678669964
University of Córdoba,Spain,3,8.79042355,-75.86177184901655
Université Paris Nanterre,France,3,48.9042269,2.2139517871306014
École des hautes études en sciences sociales,France,3,43.30088,5.3676145
Aristotle University of Thessaloniki,Greece,3,40.6296694,22.959160262503495
University of Crete,Greece,3,35.3072756,25.08249485321918
University of Galway,Ireland,3,53.2936337,-9.075059919448318
Vita-Salute San Raffaele University,Italy,3,45.506811,9.26517441766921
University of Verona,Italy,3,45.4365011,11.0032198
University of Bergen,Norway,3,60.36887575,5.351111541486731
Jagiellonian University in Kraków,Poland,3,50.0620926,19.9333211
Nicolaus Copernicus University in Toruń,Poland,3,53.0195187,18.5711994
University of Gdańsk,Poland,3,54.396404950000004,18.57400997579134
University of Nis,Serbia,3,43.322873099999995,21.89319828775414
Kyiv National Taras Shevchenko University,Ukraine,3,50.3842474,30.47428730013875
Bar-Ilan University,Israel,3,32.069329249999996,34.84334338615306
Adnan Menderes University,Turkey,3,37.856680100000005,27.854733168336814
Dokuz Eylul University,Turkey,3,38.37106845,27.207774805861
Hacettepe University,Turkey,3,39.86744815,32.735384518047205
Eastern Mediterranean University,Cyprus,3,35.14523305,33.9072905828952
McMaster University,Canada,3,43.263939699999995,-79.917825231868
University of Calgary,Canada,3,51.07505395,-114.13876168856827
QEII Health Sciences Centre,Canada,3,44.645789,-63.5863854
Universidad Nacional Autónoma de México,Mexico,3,19.32160295,-99.18493018260631
City University of New York,United States,3,40.80775585,-73.96161411567529
Icahn School of Medicine at Mount Sinai,United States,3,40.789793,-73.95325355721154
Temple University,United States,3,39.981188,-75.15628280757346
University of Colorado Boulder,United States,3,40.01779535,-105.24724210308266
"University of Maryland, College Park",United States,3,38.9784587,-76.9282678
University of Minnesota Twin Cities,United States,3,44.9863392,-93.17945580218503
University of Pittsburgh,United States,3,40.44415295,-79.96246095144505
University of Rhode Island,United States,3,41.487296900000004,-71.5344649840152
University of Virginia,United States,3,38.0410576,-78.50550841214823
University of Washington,United States,3,47.65566375,-122.30270741043226
Vanderbilt University,United States,3,36.14380105,-86.80281889095295
Universidad de Santiago de Chile,Chile,3,-33.4489016,-70.68162370843888
Universitas Airlangga,Indonesia,3,-7.26625925,112.7839482168426
Lawrence Technological University,United States,3,42.4752647,-83.25063727571097
Max Planck Institute for Human Development,Germany,3,52.4686894,13.303758929473972
University of Trnava,Slovakia,3,48.144180399999996,17.10908767943083
ORYGEN Youth Health,Australia,3,-37.78084955,144.94767754103174
The British University in Egypt,Egypt,3,30.11897325,31.610099991355767
Université Toulouse Jean Jaurès,France,3,43.578375050000005,1.401000308569734
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,Argentina,3,-34.6140298,-58.365739
Reykjavík University,Iceland,3,64.12473745,-21.927537172271208
South-West University Neofit Rilski,Bulgaria,3,42.0184151,23.0775679
Vietnam National University Ho Chi Minh City,Viet Nam,3,10.8230989,106.6296638
Ordu University,Turkey,3,40.974059,37.970594708017174
Leibniz Institute for the Social Sciences,Germany,3,,
Sunway University,Malaysia,3,3.0671722499999996,101.60385821082119
University of Hail,Saudi Arabia,3,27.67586395,41.706453775961634
IRCCS Ospedale San Raffaele,Italy,3,45.5068815,9.264759
Coe College,United States,3,41.99059715,-91.65696644701376
Nelson Mandela Africa Institution of Science and Technology,Tanzania,3,,
Alex Ekwueme Federal University Ndufu-Alike Ikwo,Nigeria,3,6.1317758,8.141298299999999
Macedonian Academy of Sciences and Arts,North Macedonia,3,41.9963445,21.4415623
"Child Mind Institute, Inc.",United States,3,,
Universidad Manuelta Beltrán,Colombia,3,4.642531099999999,-74.05431829999999
Universidad de O'Higgins,Chile,3,-34.61140135,-70.99012614338827
Ankara Science University,Turkey,3,39.9239877,32.8458385
University of Johannesburg,South Africa,2,-26.18493745,27.99979246435022
University of Pretoria,South Africa,2,-25.75433545,28.230857806174797
University of South Africa,South Africa,2,-23.9149179,29.45342697525025
Flinders University,Australia,2,-35.02487525,138.57341808329355
Griffith University Queensland,Australia,2,-27.9634372,153.384872
James Cook University Queensland,Australia,2,-19.328961800000002,146.75664498994468
University of Sydney,Australia,2,-33.88890725,151.18941110261173
University of Wollongong,Australia,2,-34.40505545,150.87834654727789
Shanghai Jiao Tong University,China,2,31.200891149999997,121.4283949471511
Zhejiang University,China,2,30.521595,120.7195312
Anhui Agricultural University,China,2,31.8648767,117.25071878356896
University of Indonesia,Indonesia,2,-6.8611533,107.59167698608596
Indian Institute of Technology Delhi,India,2,28.54499705,77.18915056744521
Hiroshima University,Japan,2,34.4019766,132.7123195
Kochi University of Technology,Japan,2,33.6208089,133.71937596625372
Osaka University,Japan,2,34.51119925,135.63144797553792
University of Malaya,Malaysia,2,3.1257602,101.65587961386524
University of Waikato,New Zealand,2,-37.7858739,175.31676647297562
University of the Philippines,Philippines,2,14.6553219,121.0554319
De La Salle University-Manila,Philippines,2,14.56494395,120.99309922392345
University of Peshawar,Pakistan,2,34.0105547,71.4833157155482
"Agency for Science, Technology and Research, Singapore",Singapore,2,1.298727,103.7873828
National Chung Cheng University,Taiwan,2,23.5629482,120.47512177283392
University of Graz,Austria,2,47.0582807,15.46024619962457
Belgian National Fund for Scientific Research,Belgium,2,50.503887,4.469936
University of St. Gallen,Switzerland,2,47.4300025,9.372218409002015
University of Fribourg,Switzerland,2,46.793058,7.157106
Masaryk University,Czech Republic,2,49.20999665,16.59924869244152
Heinrich Heine University Düsseldorf,Germany,2,51.19077325,6.793516713552313
Humboldt University of Berlin,Germany,2,52.5183402,13.392920232320172
University of Konstanz,Germany,2,47.6899569,9.18826237566324
Witten/Herdecke University,Germany,2,51.45218815,7.357114827030026
University of Wuppertal,Germany,2,51.2445542,7.150124399999999
Zentralinstitut fur Seelische Gesundheit - Central Institute of Mental Health,Germany,2,49.4922713,8.4656738
Physikalisch-Technische Bundesanstalt,Germany,2,52.29641355,10.465579540656728
CSIC,Spain,2,40.4407145,-3.687401374378301
University of Vigo,Spain,2,42.169739500000006,-8.683312518738537
Public University of Navarre,Spain,2,42.800636,-1.636479
University of Valencia,Spain,2,39.476861400000004,-0.3867240697651492
Universidad Rovira i Virgili,Spain,2,41.12268315,1.2501586736136532
Hospital Regional Universitario Carlos Haya,Spain,2,36.72312445,-4.449654826804728
Ramon Llull University,Spain,2,41.411798250000004,2.1335406915967576
University of Helsinki,Finland,2,60.22672205,25.017670049469757
Université de Caen,France,2,49.1887295,-0.3634172
Nantes Université,France,2,47.282239649999994,-1.515120331564979
Université Côte d'Azur,France,2,43.716066999999995,7.264897360869565
Université de Picardie Jules Verne,France,2,49.87419545,2.268363015144649
Université de Reims Champagne-Ardenne,France,2,48.29925645,4.079467242646295
Université de Rennes,France,2,48.1193848,-1.7014869659553993
Université de Strasbourg,France,2,48.582645,7.7638753
Université Rennes 2,France,2,48.1193848,-1.7014869659553993
University of Thessaly,Greece,2,39.35763825,22.950746406657494
University of Zagreb,Croatia,2,42.64252845,18.102663794322645
University College Cork,Ireland,2,51.8947384,-8.4903073
University of Camerino,Italy,2,43.14647585,13.0668871899954
University of Salento,Italy,2,40.34956,18.1672671
University of Milan,Italy,2,45.479858500000006,9.22824383971776
University of Modena and Reggio Emilia,Italy,2,44.6451145,10.928124
University of Siena,Italy,2,40.7654225,-111.85279650863075
University of Latvia,Latvia,2,56.950744,24.116059419868535
Wageningen University & Research,Netherlands,2,51.98544495,5.663212001137484
AGH University of Krakow,Poland,2,50.065703299999996,19.918958667058632
University of Lisbon,Portugal,2,38.7525379,-9.156845594636383
Romanian Academy,Romania,2,44.446435449999996,26.090087832478453
RAS - Pavlov Institute of Physiology,Russian Federation,2,,
Linköping University,Sweden,2,58.3977911,15.57545441574208
Isfahan University of Medical Sciences,Iran,2,34.0111285,51.40583672629889
Islamic Azad University,Iran,2,34.836724700000005,48.561978554493265
Manisa Celal Bayar University,Turkey,2,38.678873100000004,27.30865102437125
Cankaya University,Turkey,2,39.82019345,32.56269277681798
Concordia University,Canada,2,45.4952479,-73.57858216019235
University of Regina,Canada,2,50.4152275,-104.58899996239825
Western University,Canada,2,11.57164495,104.88919265514961
Boston College,United States,2,42.3354481,-71.16826648999114
Cornell University,United States,2,42.4529076,-76.48008423030923
DePaul University,United States,2,41.92401995,-87.65472731476649
Fordham University,United States,2,40.861734350000006,-73.88603169298054
George Washington University,United States,2,38.899893750000004,-77.04744828062584
Indiana University Bloomington,United States,2,39.1802358,-86.50935262731483
Johns Hopkins University,United States,2,39.33020225,-76.62185357858337
Medical University of South Carolina,United States,2,32.784296499999996,-79.94714193501349
Oregon Health and Science University,United States,2,43.8041334,-120.5542012
"Rutgers - The State University of New Jersey, New Brunswick",United States,2,40.5008405,-74.44741739999999
San Diego State University,United States,2,32.7761529,-117.07330366921886
Syracuse University,United States,2,43.017112850000004,-76.11855360009726
Texas A&M University,United States,2,30.6108618,-96.35206061388457
University of California at Irvine,United States,2,33.6423814,-117.8416747
University of Houston,United States,2,29.7207902,-95.34406271491369
University of Illinois at Chicago,United States,2,41.868922299999994,-87.64858476010119
University of Kansas,United States,2,38.95350515,-95.26309220025998
University of Kentucky,United States,2,38.026629099999994,-84.50472223981663
University of Miami,United States,2,25.71727245,-80.2787068732586
University of Oregon,United States,2,44.04441965,-123.07176029673084
University of Vermont,United States,2,44.4737365,-73.19414679705882
Washington State University Pullman,United States,2,46.7337716,-117.14980348311619
Washington University St. Louis,United States,2,38.64724015,-90.30840174694748
Pontifícia Universidade Católica do Rio de Janeiro,Brazil,2,-22.979624549999997,-43.23314772473006
Universidade Estadual de Campinas,Brazil,2,-22.82265605,-47.06279590310605
Universidade Federal da Paraíba,Brazil,2,-6.7505593,-35.64545021761968
Universidade Federal de Santa Catarina,Brazil,2,-27.60341335,-48.5224424733554
Universidad de Chile,Chile,2,-33.443867,-70.6506654
Universidad Católica del Maule,Chile,2,-35.4354476,-71.61956337026399
Max Planck Institute of Experimental Medicine,Germany,2,51.5511322,9.9375047
Max Planck Institute for Evolutionary Anthropology,Germany,2,51.3210522,12.394925046086962
Max Planck Institute for Research On Collective Goods,Germany,2,50.7170241,7.126409619999995
Universidad Peruana de Ciencias Aplicadas,Peru,2,-12.104031549999998,-76.96297465875287
Universitas Udayana,Indonesia,2,-8.7947286,115.17390369964819
University of Nottingham Malaysia Campus,Malaysia,2,2.94448475,101.8760282930444
University of Presov in Presov,Slovakia,2,48.99129019999999,21.2329572
"University of SS Cyril and Methodius, Trnava",Slovakia,2,48.3833631,17.5890554
"University of Economics, Prague",Czech Republic,2,50.08321565,14.441625747826857
Karabuk University,Turkey,2,41.2072548,32.65837956472413
